
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-27 20:29:18 /api/price-feed/quotes ............................................................. ~ 504.42ms
  2026-02-27 20:29:20 /api/price-feed/quotes ............................................................. ~ 513.95ms
  2026-02-27 20:29:23 /api/price-feed/quotes ............................................................. ~ 500.87ms
  2026-02-27 20:29:26 /api/price-feed/quotes ............................................................. ~ 501.84ms
  2026-02-27 20:29:28 /api/price-feed/quotes ............................................................... ~ 0.36ms
  2026-02-27 20:29:31 /api/price-feed/quotes ............................................................... ~ 0.46ms
  2026-02-27 20:29:34 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-27 20:29:36 /api/price-feed/quotes ............................................................... ~ 0.78ms
  2026-02-27 20:29:39 /api/price-feed/quotes ............................................................... ~ 1.83ms
  2026-02-27 20:29:41 /api/price-feed/quotes ............................................................. ~ 504.19ms
  2026-02-27 20:29:43 /api/price-feed/quotes ............................................................. ~ 504.84ms
  2026-02-27 20:29:46 /api/price-feed/quotes ............................................................. ~ 513.54ms
  2026-02-27 20:29:48 /api/price-feed/quotes ............................................................. ~ 501.93ms
  2026-02-27 20:29:51 /api/price-feed/quotes ............................................................... ~ 0.36ms
  2026-02-27 20:29:53 /api/price-feed/quotes ............................................................... ~ 0.38ms
  2026-02-27 20:29:55 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-27 20:29:57 /api/price-feed/quotes ............................................................... ~ 1.12ms
  2026-02-27 20:30:00 /api/price-feed/quotes ............................................................. ~ 502.42ms
  2026-02-27 20:30:02 /api/price-feed/quotes ............................................................. ~ 508.13ms
  2026-02-27 20:30:04 /api/price-feed/quotes ............................................................. ~ 510.67ms
  2026-02-27 20:30:07 /api/price-feed/quotes ............................................................... ~ 0.47ms
  2026-02-27 20:30:09 /api/price-feed/quotes ............................................................... ~ 0.37ms
  2026-02-27 20:30:11 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-27 20:30:14 /api/price-feed/quotes ............................................................. ~ 542.75ms
  2026-02-27 20:30:17 /api/price-feed/quotes ............................................................... ~ 0.81ms
  2026-02-27 20:30:19 /api/price-feed/quotes ............................................................... ~ 0.71ms
  2026-02-27 20:30:22 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-27 20:30:25 /api/price-feed/quotes ............................................................... ~ 1.20ms
  2026-02-27 20:30:27 /api/price-feed/quotes ............................................................... ~ 0.73ms
  2026-02-27 20:30:29 /api/price-feed/quotes ............................................................... ~ 0.64ms
  2026-02-27 20:30:31 /api/price-feed/quotes ............................................................. ~ 501.30ms
  2026-02-27 20:30:34 /api/price-feed/quotes ............................................................. ~ 513.01ms
  2026-02-27 20:30:37 /api/price-feed/quotes ............................................................. ~ 502.47ms
  2026-02-27 20:30:40 /api/price-feed/quotes ............................................................... ~ 0.70ms
  2026-02-27 20:30:43 /api/price-feed/quotes ............................................................... ~ 0.61ms
  2026-02-27 20:30:45 /api/price-feed/quotes ............................................................... ~ 0.41ms
  2026-02-27 20:30:48 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-27 20:30:50 /api/price-feed/quotes ............................................................... ~ 0.52ms
  2026-02-27 20:30:53 /api/price-feed/quotes ............................................................... ~ 0.36ms
  2026-02-27 20:30:55 /api/price-feed/quotes ............................................................. ~ 509.07ms
  2026-02-27 20:30:57 /api/price-feed/quotes ............................................................. ~ 512.12ms
  2026-02-27 20:31:00 /api/price-feed/quotes ............................................................... ~ 0.39ms
  2026-02-27 20:31:03 /api/price-feed/quotes ............................................................... ~ 0.34ms
  2026-02-27 20:31:13 /api/price-feed/quotes ............................................................... ~ 0.88ms
  2026-02-27 20:31:46 /api/price-feed/quotes ............................................................. ~ 512.17ms
  2026-02-27 20:31:49 /api/price-feed/quotes ............................................................. ~ 500.42ms
  2026-02-27 20:31:52 /api/price-feed/quotes ............................................................... ~ 0.52ms
  2026-02-27 20:31:55 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-27 20:31:57 /api/price-feed/quotes ............................................................... ~ 0.74ms
  2026-02-27 20:32:00 /api/price-feed/quotes ............................................................... ~ 0.79ms
  2026-02-27 20:32:02 /api/price-feed/quotes ............................................................. ~ 504.54ms
  2026-02-27 20:32:05 /api/price-feed/quotes ............................................................. ~ 510.12ms
