
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-01 15:31:18 /api/missed-trades ................................................................. ~ 563.39ms
  2026-03-01 15:32:02 /api/analytics/dashboard-summary ................................................... ~ 501.01ms
  2026-03-01 15:32:03 /api/missed-trades ................................................................... ~ 0.16ms
  2026-03-01 15:32:03 /api/trades ........................................................................ ~ 538.28ms
  2026-03-01 15:32:47 /api/analytics/dashboard-summary ..................................................... ~ 0.43ms
  2026-03-01 15:32:47 /api/trades ........................................................................ ~ 505.74ms
  2026-03-01 15:32:47 /api/missed-trades ................................................................. ~ 537.82ms
  2026-03-01 15:32:58 /api/analytics/dashboard-summary ................................................... ~ 501.46ms
  2026-03-01 15:32:59 /api/missed-trades ................................................................... ~ 0.19ms
  2026-03-01 15:32:59 /api/trades ......................................................................... ~ 34.74ms
  2026-03-01 15:33:12 /api/analytics/dashboard-summary ................................................... ~ 501.25ms
  2026-03-01 15:33:12 /api/trades ........................................................................ ~ 529.64ms
  2026-03-01 15:33:12 /api/missed-trades .................................................................. ~ 37.45ms
  2026-03-01 15:33:15 /api/accounts ...................................................................... ~ 510.53ms
  2026-03-01 15:33:15 /api/instruments ................................................................... ~ 545.51ms
  2026-03-01 15:33:15 /api/fx-rates ...................................................................... ~ 538.66ms
  2026-03-01 15:33:15 /api/dictionaries/strategy-models .................................................. ~ 533.26ms
  2026-03-01 15:33:16 /api/dictionaries/setups ............................................................ ~ 16.64ms
  2026-03-01 15:33:16 /api/dictionaries/killzones ........................................................ ~ 522.03ms
  2026-03-01 15:33:16 /api/dictionaries/trade-tags ....................................................... ~ 524.16ms
  2026-03-01 15:33:16 /api/dictionaries/sessions .......................................................... ~ 30.94ms
  2026-03-01 15:33:16 /api/instruments ................................................................... ~ 523.68ms
  2026-03-01 15:33:17 /api/trades .......................................................................... ~ 0.19ms
  2026-03-01 15:33:17 /api/trade-checklist/resolve ......................................................... ~ 0.08ms
  2026-03-01 15:33:17 /api/trade-checklist/resolve ....................................................... ~ 500.92ms
  2026-03-01 15:33:17 /api/user/preferences ................................................................ ~ 0.08ms
  2026-03-01 15:33:19 /api/analytics/dashboard-summary ................................................... ~ 516.67ms
  2026-03-01 15:33:19 /api/analytics/overview .............................................................. ~ 0.19ms
  2026-03-01 15:33:20 /api/accounts ...................................................................... ~ 507.93ms
  2026-03-01 15:33:21 /api/accounts ........................................................................ ~ 0.16ms
  2026-03-01 15:33:21 /api/dictionaries/strategy-models .................................................. ~ 547.33ms
  2026-03-01 15:33:21 /api/dictionaries/setups ........................................................... ~ 562.26ms
  2026-03-01 15:33:21 /api/dictionaries/killzones ........................................................ ~ 541.61ms
  2026-03-01 15:33:22 /api/dictionaries/trade-tags ....................................................... ~ 548.69ms
  2026-03-01 15:33:22 /api/dictionaries/sessions ......................................................... ~ 535.11ms
  2026-03-01 15:33:22 /api/checklists ...................................................................... ~ 0.09ms
  2026-03-01 15:33:23 /api/checklists/1/items ............................................................ ~ 509.44ms
  2026-03-01 15:33:23 /api/checklists/1/items .............................................................. ~ 0.18ms
  2026-03-01 15:33:24 /api/accounts ........................................................................ ~ 0.23ms
  2026-03-01 15:33:24 /api/instruments .................................................................... ~ 36.54ms
  2026-03-01 15:33:24 /api/fx-rates ...................................................................... ~ 553.32ms
  2026-03-01 15:33:24 /api/instruments ..................................................................... ~ 0.10ms
  2026-03-01 15:33:34 /api/accounts ........................................................................ ~ 0.15ms
  2026-03-01 15:33:44 /api/accounts ...................................................................... ~ 512.89ms
  2026-03-01 15:33:44 /api/reports ......................................................................... ~ 0.09ms
  2026-03-01 15:33:44 /api/analytics/dashboard-summary ................................................... ~ 509.63ms
  2026-03-01 15:33:44 /api/trades ........................................................................ ~ 543.28ms
  2026-03-01 15:33:44 /api/missed-trades .................................................................. ~ 33.83ms
  2026-03-01 15:34:01 /api/analytics/dashboard-summary ..................................................... ~ 0.25ms
  2026-03-01 15:34:02 /api/trades ........................................................................ ~ 512.68ms
  2026-03-01 15:34:02 /api/missed-trades ................................................................. ~ 578.86ms
  2026-03-01 15:34:04 /api/accounts ........................................................................ ~ 0.21ms
  2026-03-01 15:34:04 /api/dictionaries/strategy-models .................................................. ~ 510.18ms
  2026-03-01 15:34:04 /api/dictionaries/setups ........................................................... ~ 542.15ms
  2026-03-01 15:34:05 /api/dictionaries/killzones ........................................................ ~ 535.26ms
  2026-03-01 15:34:05 /api/dictionaries/trade-tags ....................................................... ~ 533.74ms
  2026-03-01 15:34:05 /api/dictionaries/sessions ......................................................... ~ 510.56ms
  2026-03-01 15:34:06 /api/checklists ...................................................................... ~ 0.23ms
  2026-03-01 15:34:06 /api/checklists/1/items ............................................................ ~ 501.80ms
  2026-03-01 15:34:08 /api/user/preferences ................................................................ ~ 0.14ms
  2026-03-01 15:34:09 /api/analytics/dashboard-summary ..................................................... ~ 0.50ms
  2026-03-01 15:34:09 /api/analytics/overview ............................................................ ~ 532.48ms
  2026-03-01 15:34:10 /api/instruments ................................................................... ~ 634.04ms
  2026-03-01 15:34:10 /api/dictionaries/strategy-models ........................................................ ~ 1s
  2026-03-01 15:34:10 /api/dictionaries/setups ................................................................. ~ 1s
  2026-03-01 15:34:11 /api/dictionaries/killzones ......................................................... ~ 31.87ms
  2026-03-01 15:34:11 /api/dictionaries/trade-tags ....................................................... ~ 523.38ms
  2026-03-01 15:34:11 /api/dictionaries/sessions ......................................................... ~ 526.26ms
  2026-03-01 15:34:12 /api/instruments .................................................................... ~ 21.48ms
  2026-03-01 15:34:12 /api/accounts ...................................................................... ~ 537.40ms
  2026-03-01 15:34:12 /api/instruments ................................................................... ~ 546.32ms
  2026-03-01 15:34:12 /api/fx-rates ....................................................................... ~ 35.54ms
  2026-03-01 15:34:12 /api/dictionaries/strategy-models .................................................. ~ 543.87ms
  2026-03-01 15:34:13 /api/dictionaries/setups ........................................................... ~ 526.90ms
  2026-03-01 15:34:13 /api/dictionaries/killzones ......................................................... ~ 33.02ms
  2026-03-01 15:34:13 /api/dictionaries/trade-tags ........................................................ ~ 28.38ms
  2026-03-01 15:34:13 /api/dictionaries/sessions ......................................................... ~ 533.08ms
  2026-03-01 15:34:13 /api/trades ........................................................................ ~ 535.60ms
  2026-03-01 15:34:13 /api/instruments .................................................................... ~ 33.73ms
  2026-03-01 15:34:14 /api/reports ....................................................................... ~ 503.15ms
  2026-03-01 15:34:14 /api/trades .......................................................................... ~ 0.12ms
  2026-03-01 15:34:14 /api/trade-checklist/resolve ......................................................... ~ 0.24ms
  2026-03-01 15:34:14 /api/trade-checklist/resolve ....................................................... ~ 503.31ms
  2026-03-01 15:34:32 /api/accounts ........................................................................ ~ 0.21ms
  2026-03-01 15:34:32 /api/dictionaries/strategy-models ................................................... ~ 30.32ms
  2026-03-01 15:34:32 /api/dictionaries/setups ........................................................... ~ 550.29ms
  2026-03-01 15:34:32 /api/dictionaries/killzones ........................................................ ~ 570.59ms
  2026-03-01 15:34:32 /api/dictionaries/trade-tags ....................................................... ~ 592.04ms
  2026-03-01 15:34:32 /api/dictionaries/sessions ............................................................... ~ 1s
  2026-03-01 15:34:33 /api/checklists ...................................................................... ~ 0.09ms
  2026-03-01 15:34:34 /api/checklists/1/items .............................................................. ~ 0.08ms
  2026-03-01 15:39:51 /api/accounts ...................................................................... ~ 513.37ms
  2026-03-01 15:39:51 /api/dictionaries/strategy-models .................................................. ~ 547.34ms
  2026-03-01 15:39:51 /api/dictionaries/setups ............................................................ ~ 12.86ms
  2026-03-01 15:39:51 /api/dictionaries/killzones ........................................................ ~ 505.86ms
  2026-03-01 15:39:52 /api/dictionaries/trade-tags ....................................................... ~ 503.23ms
  2026-03-01 15:39:52 /api/dictionaries/sessions .......................................................... ~ 14.31ms
  2026-03-01 15:39:52 /api/checklists ...................................................................... ~ 0.10ms
  2026-03-01 15:39:52 /api/checklists/1/items ............................................................ ~ 515.32ms
  2026-03-01 15:40:34 /api/instruments ................................................................... ~ 511.58ms
  2026-03-01 15:40:34 /api/dictionaries/strategy-models .................................................... ~ 0.14ms
  2026-03-01 15:40:34 /api/dictionaries/setups ........................................................... ~ 528.46ms
  2026-03-01 15:40:34 /api/dictionaries/killzones ........................................................ ~ 537.56ms
  2026-03-01 15:40:34 /api/dictionaries/trade-tags ........................................................ ~ 18.48ms
  2026-03-01 15:40:35 /api/dictionaries/sessions .......................................................... ~ 19.37ms
  2026-03-01 15:40:35 /api/instruments ................................................................... ~ 531.91ms
  2026-03-01 15:40:35 /api/trades .......................................................................... ~ 0.13ms
  2026-03-01 15:40:35 /api/reports ......................................................................... ~ 0.09ms
  2026-03-01 15:40:36 /api/accounts ...................................................................... ~ 510.70ms
  2026-03-01 15:40:36 /api/instruments ................................................................... ~ 542.81ms
  2026-03-01 15:40:36 /api/fx-rates ....................................................................... ~ 27.50ms
  2026-03-01 15:40:36 /api/dictionaries/strategy-models .................................................. ~ 541.36ms
  2026-03-01 15:40:36 /api/dictionaries/setups ........................................................... ~ 530.61ms
  2026-03-01 15:40:36 /api/dictionaries/killzones ......................................................... ~ 24.80ms
  2026-03-01 15:40:37 /api/dictionaries/trade-tags ........................................................ ~ 18.55ms
  2026-03-01 15:40:37 /api/dictionaries/sessions ......................................................... ~ 526.28ms
  2026-03-01 15:40:37 /api/instruments ................................................................... ~ 522.96ms
  2026-03-01 15:40:37 /api/trades .......................................................................... ~ 0.08ms
  2026-03-01 15:40:37 /api/trade-checklist/resolve ....................................................... ~ 512.40ms
  2026-03-01 15:40:37 /api/trade-checklist/resolve ......................................................... ~ 0.08ms
  2026-03-01 15:40:42 /api/accounts ........................................................................ ~ 0.21ms
  2026-03-01 15:40:42 /api/dictionaries/strategy-models .................................................... ~ 0.16ms
  2026-03-01 15:40:42 /api/dictionaries/setups ........................................................... ~ 523.38ms
  2026-03-01 15:40:42 /api/dictionaries/killzones ........................................................ ~ 530.44ms
  2026-03-01 15:40:42 /api/dictionaries/trade-tags ........................................................ ~ 21.74ms
  2026-03-01 15:40:42 /api/dictionaries/sessions ......................................................... ~ 522.65ms
  2026-03-01 15:40:43 /api/checklists ...................................................................... ~ 0.08ms
  2026-03-01 15:40:43 /api/checklists/1/items .............................................................. ~ 0.08ms
  2026-03-01 15:41:03 /api/instruments ..................................................................... ~ 0.20ms
  2026-03-01 15:41:03 /api/dictionaries/strategy-models .................................................. ~ 532.20ms
  2026-03-01 15:41:03 /api/dictionaries/setups ........................................................... ~ 522.03ms
  2026-03-01 15:41:03 /api/dictionaries/killzones ......................................................... ~ 23.16ms
  2026-03-01 15:41:03 /api/dictionaries/trade-tags ....................................................... ~ 536.46ms
  2026-03-01 15:41:04 /api/dictionaries/sessions ......................................................... ~ 537.03ms
  2026-03-01 15:41:04 /api/instruments .................................................................... ~ 27.52ms
  2026-03-01 15:41:04 /api/accounts ...................................................................... ~ 540.01ms
  2026-03-01 15:41:04 /api/instruments ................................................................... ~ 535.33ms
  2026-03-01 15:41:04 /api/fx-rates ....................................................................... ~ 30.15ms
  2026-03-01 15:41:05 /api/dictionaries/strategy-models .................................................. ~ 541.49ms
  2026-03-01 15:41:05 /api/dictionaries/setups ........................................................... ~ 526.42ms
  2026-03-01 15:41:05 /api/dictionaries/killzones ......................................................... ~ 27.90ms
  2026-03-01 15:41:05 /api/dictionaries/trade-tags ....................................................... ~ 529.45ms
  2026-03-01 15:41:05 /api/dictionaries/sessions ......................................................... ~ 526.57ms
  2026-03-01 15:41:05 /api/trades ......................................................................... ~ 26.51ms
  2026-03-01 15:41:06 /api/instruments .................................................................... ~ 44.58ms
  2026-03-01 15:41:06 /api/reports ....................................................................... ~ 515.06ms
  2026-03-01 15:41:06 /api/trades .......................................................................... ~ 0.13ms
  2026-03-01 15:41:06 /api/trade-checklist/resolve ....................................................... ~ 521.47ms
  2026-03-01 15:41:07 /api/trade-checklist/resolve ....................................................... ~ 505.81ms
  2026-03-01 15:41:18 /api/accounts ........................................................................ ~ 0.27ms
  2026-03-01 15:41:18 /api/instruments ................................................................... ~ 505.47ms
  2026-03-01 15:41:18 /api/fx-rates ...................................................................... ~ 542.19ms
  2026-03-01 15:41:19 /api/instruments ................................................................... ~ 500.66ms
  2026-03-01 15:41:19 /api/accounts ...................................................................... ~ 537.08ms
  2026-03-01 15:41:19 /api/dictionaries/strategy-models ................................................... ~ 37.61ms
