
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-28 11:46:24 /api/dictionaries/trade-tags ....................................................... ~ 530.44ms
  2026-02-28 11:46:24 /api/dictionaries/sessions ......................................................... ~ 533.17ms
  2026-02-28 11:46:25 /api/checklists ...................................................................... ~ 0.24ms
  2026-02-28 11:46:25 /api/checklists/1/items ............................................................ ~ 514.41ms
  2026-02-28 11:46:25 /api/checklists/1/items .............................................................. ~ 0.25ms
  2026-02-28 11:46:30 /api/instruments ..................................................................... ~ 0.90ms
  2026-02-28 11:46:30 /api/dictionaries/strategy-models .................................................. ~ 538.45ms
  2026-02-28 11:46:30 /api/dictionaries/setups ........................................................... ~ 557.97ms
  2026-02-28 11:46:30 /api/dictionaries/killzones ........................................................ ~ 539.93ms
  2026-02-28 11:46:30 /api/dictionaries/trade-tags ....................................................... ~ 521.60ms
  2026-02-28 11:46:30 /api/dictionaries/sessions ......................................................... ~ 526.09ms
  2026-02-28 11:46:31 /api/instruments .................................................................... ~ 37.75ms
  2026-02-28 11:46:31 /api/trades ........................................................................ ~ 505.52ms
  2026-02-28 11:46:31 /api/accounts ........................................................................ ~ 0.35ms
  2026-02-28 11:46:31 /api/instruments .................................................................... ~ 31.23ms
  2026-02-28 11:46:32 /api/fx-rates ...................................................................... ~ 533.24ms
  2026-02-28 11:46:32 /api/dictionaries/strategy-models .................................................. ~ 543.86ms
  2026-02-28 11:46:32 /api/dictionaries/setups ............................................................ ~ 25.25ms
  2026-02-28 11:46:32 /api/dictionaries/killzones ........................................................ ~ 538.25ms
  2026-02-28 11:46:32 /api/dictionaries/trade-tags ....................................................... ~ 537.71ms
  2026-02-28 11:46:33 /api/dictionaries/sessions .......................................................... ~ 23.23ms
  2026-02-28 11:46:33 /api/reports ....................................................................... ~ 514.15ms
  2026-02-28 11:46:33 /api/instruments ................................................................... ~ 523.81ms
  2026-02-28 11:46:33 /api/trades .......................................................................... ~ 0.20ms
  2026-02-28 11:46:33 /api/trade-checklist/resolve ....................................................... ~ 503.65ms
  2026-02-28 11:46:34 /api/trade-checklist/resolve ......................................................... ~ 0.25ms
  2026-02-28 11:46:38 /api/accounts ........................................................................ ~ 0.40ms
  2026-02-28 11:46:38 /api/dictionaries/strategy-models .................................................. ~ 540.22ms
  2026-02-28 11:46:38 /api/dictionaries/setups ........................................................... ~ 563.35ms
  2026-02-28 11:46:38 /api/dictionaries/killzones ........................................................ ~ 564.52ms
  2026-02-28 11:46:38 /api/dictionaries/trade-tags ....................................................... ~ 525.45ms
  2026-02-28 11:46:39 /api/dictionaries/sessions ......................................................... ~ 530.77ms
  2026-02-28 11:46:39 /api/checklists ...................................................................... ~ 0.19ms
  2026-02-28 11:46:39 /api/checklists/1/items ............................................................ ~ 514.43ms
  2026-02-28 11:46:59 /api/analytics/dashboard-summary ..................................................... ~ 0.45ms
  2026-02-28 11:46:59 /api/missed-trades ................................................................... ~ 0.17ms
  2026-02-28 11:46:59 /api/trades ......................................................................... ~ 21.75ms
  2026-02-28 11:47:24 /api/analytics/dashboard-summary ..................................................... ~ 0.44ms
  2026-02-28 11:47:24 /api/trades ........................................................................ ~ 514.41ms
  2026-02-28 11:47:24 /api/missed-trades ................................................................. ~ 542.54ms
  2026-02-28 11:47:43 /api/analytics/dashboard-summary ..................................................... ~ 0.70ms
  2026-02-28 11:47:43 /api/trades ........................................................................ ~ 533.44ms
  2026-02-28 11:47:43 /api/missed-trades ................................................................. ~ 545.95ms
  2026-02-28 11:47:47 /api/analytics/dashboard-summary ..................................................... ~ 0.36ms
  2026-02-28 11:47:47 /api/trades ......................................................................... ~ 23.00ms
  2026-02-28 11:47:47 /api/missed-trades ................................................................. ~ 523.43ms
  2026-02-28 11:47:51 /api/analytics/dashboard-summary ..................................................... ~ 0.73ms
  2026-02-28 11:47:52 /api/trades ........................................................................ ~ 510.79ms
  2026-02-28 11:47:52 /api/missed-trades ................................................................. ~ 558.51ms
  2026-02-28 11:47:56 /api/instruments ................................................................... ~ 499.43ms
  2026-02-28 11:47:56 /api/dictionaries/strategy-models .................................................. ~ 540.85ms
  2026-02-28 11:47:56 /api/dictionaries/setups ............................................................ ~ 21.03ms
  2026-02-28 11:47:56 /api/dictionaries/killzones ........................................................ ~ 537.51ms
  2026-02-28 11:47:56 /api/dictionaries/trade-tags ....................................................... ~ 540.50ms
  2026-02-28 11:47:57 /api/dictionaries/sessions .......................................................... ~ 25.62ms
  2026-02-28 11:47:57 /api/instruments ................................................................... ~ 541.78ms
  2026-02-28 11:47:57 /api/trades .......................................................................... ~ 0.31ms
  2026-02-28 11:47:58 /api/reports ....................................................................... ~ 502.12ms
  2026-02-28 11:48:29 /api/analytics/dashboard-summary ..................................................... ~ 1.23ms
  2026-02-28 11:48:29 /api/trades ........................................................................ ~ 512.71ms
  2026-02-28 11:48:29 /api/missed-trades ................................................................. ~ 543.18ms
  2026-02-28 11:49:14 /api/analytics/dashboard-summary ................................................... ~ 501.38ms
  2026-02-28 11:49:14 /api/trades .......................................................................... ~ 0.23ms
  2026-02-28 11:49:14 /api/missed-trades .................................................................. ~ 24.98ms
  2026-02-28 11:49:59 /api/analytics/dashboard-summary ................................................... ~ 502.17ms
  2026-02-28 11:49:59 /api/trades .......................................................................... ~ 0.31ms
  2026-02-28 11:49:59 /api/missed-trades .................................................................. ~ 32.62ms
  2026-02-28 11:51:40 /api/analytics/dashboard-summary ................................................... ~ 515.48ms
  2026-02-28 11:51:40 /api/trades .......................................................................... ~ 0.30ms
  2026-02-28 11:51:40 /api/missed-trades ................................................................. ~ 534.81ms
  2026-02-28 11:52:40 /api/analytics/dashboard-summary ................................................... ~ 515.28ms
  2026-02-28 11:52:40 /api/trades .......................................................................... ~ 0.19ms
  2026-02-28 11:52:40 /api/missed-trades .................................................................. ~ 26.21ms
  2026-02-28 11:53:40 /api/analytics/dashboard-summary ................................................... ~ 520.76ms
  2026-02-28 11:53:40 /api/trades ........................................................................ ~ 546.43ms
  2026-02-28 11:53:40 /api/missed-trades ................................................................. ~ 584.58ms
  2026-02-28 11:53:52 /api/analytics/dashboard-summary ..................................................... ~ 0.67ms
  2026-02-28 11:53:52 /api/trades ........................................................................ ~ 510.88ms
  2026-02-28 11:53:52 /api/missed-trades ................................................................. ~ 550.05ms
  2026-02-28 11:53:53 /api/accounts ...................................................................... ~ 515.36ms
  2026-02-28 11:53:54 /api/dictionaries/strategy-models .................................................... ~ 0.26ms
  2026-02-28 11:53:54 /api/dictionaries/setups ............................................................ ~ 16.75ms
  2026-02-28 11:53:54 /api/dictionaries/killzones ........................................................ ~ 537.19ms
  2026-02-28 11:53:54 /api/dictionaries/trade-tags ....................................................... ~ 542.75ms
  2026-02-28 11:53:54 /api/dictionaries/sessions .......................................................... ~ 25.25ms
  2026-02-28 11:53:55 /api/checklists .................................................................... ~ 509.68ms
  2026-02-28 11:53:55 /api/checklists/1/items .............................................................. ~ 0.21ms
  2026-02-28 11:54:29 /api/analytics/dashboard-summary ..................................................... ~ 0.49ms
  2026-02-28 11:54:29 /api/trades ......................................................................... ~ 20.02ms
  2026-02-28 11:54:29 /api/missed-trades ................................................................. ~ 550.36ms
  2026-02-28 11:54:53 /api/accounts ...................................................................... ~ 515.18ms
  2026-02-28 11:54:53 /api/dictionaries/strategy-models .................................................. ~ 547.76ms
  2026-02-28 11:54:53 /api/dictionaries/setups ........................................................... ~ 561.39ms
  2026-02-28 11:54:53 /api/dictionaries/killzones ........................................................ ~ 533.00ms
  2026-02-28 11:54:53 /api/dictionaries/trade-tags ....................................................... ~ 523.02ms
  2026-02-28 11:54:53 /api/dictionaries/sessions .......................................................... ~ 22.18ms
  2026-02-28 11:54:53 /api/checklists .................................................................... ~ 509.08ms
  2026-02-28 11:54:54 /api/checklists/1/items .............................................................. ~ 0.17ms
  2026-02-28 11:55:12 /api/analytics/dashboard-summary ..................................................... ~ 0.43ms
  2026-02-28 11:55:12 /api/trades ........................................................................ ~ 515.98ms
  2026-02-28 11:55:12 /api/missed-trades ................................................................. ~ 530.75ms
  2026-02-28 11:55:59 /api/analytics/dashboard-summary ................................................... ~ 500.98ms
  2026-02-28 11:55:59 /api/trades .......................................................................... ~ 0.22ms
  2026-02-28 11:55:59 /api/missed-trades .................................................................. ~ 42.52ms
  2026-02-28 11:58:40 /api/analytics/dashboard-summary ................................................... ~ 512.67ms
  2026-02-28 11:58:40 /api/trades ........................................................................ ~ 512.62ms
  2026-02-28 11:58:40 /api/missed-trades ................................................................. ~ 568.31ms
  2026-02-28 11:59:40 /api/analytics/dashboard-summary ................................................... ~ 500.65ms
  2026-02-28 11:59:40 /api/trades .......................................................................... ~ 0.36ms
  2026-02-28 11:59:40 /api/missed-trades ................................................................. ~ 548.95ms
  2026-02-28 12:00:40 /api/analytics/dashboard-summary ................................................... ~ 502.95ms
  2026-02-28 12:00:40 /api/trades .......................................................................... ~ 0.35ms
  2026-02-28 12:00:40 /api/missed-trades .................................................................. ~ 52.22ms
  2026-02-28 12:01:40 /api/analytics/dashboard-summary ..................................................... ~ 0.52ms
  2026-02-28 12:01:40 /api/trades ........................................................................ ~ 514.61ms
  2026-02-28 12:01:40 /api/missed-trades ................................................................. ~ 548.17ms
  2026-02-28 12:02:40 /api/analytics/dashboard-summary ................................................... ~ 502.46ms
  2026-02-28 12:02:40 /api/trades ........................................................................ ~ 545.77ms
  2026-02-28 12:02:40 /api/missed-trades ................................................................. ~ 541.96ms
  2026-02-28 12:03:40 /api/analytics/dashboard-summary ................................................... ~ 504.78ms
  2026-02-28 12:03:40 /api/trades ........................................................................ ~ 533.65ms
  2026-02-28 12:03:40 /api/missed-trades .................................................................. ~ 46.01ms
  2026-02-28 12:04:40 /api/analytics/dashboard-summary ................................................... ~ 517.19ms
  2026-02-28 12:04:40 /api/trades .............................................................................. ~ 1s
  2026-02-28 12:04:40 /api/missed-trades ................................................................. ~ 555.55ms
  2026-02-28 12:05:40 /api/analytics/dashboard-summary ................................................... ~ 501.69ms
  2026-02-28 12:05:40 /api/trades .......................................................................... ~ 0.22ms
  2026-02-28 12:05:40 /api/missed-trades ................................................................. ~ 543.53ms
  2026-02-28 12:06:40 /api/analytics/dashboard-summary ................................................... ~ 515.04ms
  2026-02-28 12:06:40 /api/trades .......................................................................... ~ 0.66ms
  2026-02-28 12:06:40 /api/missed-trades .................................................................. ~ 54.99ms
  2026-02-28 12:07:40 /api/analytics/dashboard-summary ..................................................... ~ 0.56ms
